row_type,category,root,request_symbol,schema,stype_in,start,end,estimated_records,estimated_billable_bytes,estimated_gb,estimated_cost_usd
detail,OHLCV-1s,NQ,NQ.v.0,ohlcv-1s,continuous,2021-09-22,2026-09-22,62726205,3512667480,3.512667,228.99985649
detail,Definitions,NQ,NQ.FUT,definition,parent,2021-09-22,2026-09-22,48139,25032280,0.025032,0.03963232
detail,Statistics,NQ,NQ.v.0,statistics,continuous,2021-09-22,2026-09-22,2416945,193355600,0.193356,0.18007644
detail,Status,NQ,NQ.v.0,status,continuous,2021-09-22,2026-09-22,8676,347040,0.000347,0.00129282
detail,OHLCV-1s,ES,ES.v.0,ohlcv-1s,continuous,2021-09-22,2026-09-22,57265962,3206893872,3.206894,209.06568602
detail,Definitions,ES,ES.FUT,definition,parent,2021-09-22,2026-09-22,92579,48141080,0.048141,0.07621929
detail,Statistics,ES,ES.v.0,statistics,continuous,2021-09-22,2026-09-22,781227,62498160,0.062498,0.05820595
detail,Status,ES,ES.v.0,status,continuous,2021-09-22,2026-09-22,8386,335440,0.000335,0.00124961
detail,OHLCV-1s,RTY,RTY.v.0,ohlcv-1s,continuous,2021-09-22,2026-09-22,33586844,1880863264,1.880863,122.61832923
detail,Definitions,RTY,RTY.FUT,definition,parent,2021-09-22,2026-09-22,83538,43439760,0.04344,0.06877593
detail,Statistics,RTY,RTY.v.0,statistics,continuous,2021-09-22,2026-09-22,988871,79109680,0.07911,0.07367663
detail,Status,RTY,RTY.v.0,status,continuous,2021-09-22,2026-09-22,8324,332960,0.000333,0.00124037
detail,OHLCV-1s,YM,YM.v.0,ohlcv-1s,continuous,2021-09-22,2026-09-22,35246541,1973806296,1.973806,128.6775253
detail,Definitions,YM,YM.FUT,definition,parent,2021-09-22,2026-09-22,37002,19241040,0.019241,0.03046335
detail,Statistics,YM,YM.v.0,statistics,continuous,2021-09-22,2026-09-22,1094296,87543680,0.087544,0.08153141
detail,Status,YM,YM.v.0,status,continuous,2021-09-22,2026-09-22,8172,326880,0.000327,0.00121772
detail,OHLCV-1s,ZT,ZT.v.0,ohlcv-1s,continuous,2021-09-22,2026-09-22,10364111,580390216,0.58039,37.83713572
detail,Definitions,ZT,ZT.FUT,definition,parent,2021-09-22,2026-09-22,28871,15012920,0.015013,0.02376918
detail,Statistics,ZT,ZT.v.0,statistics,continuous,2021-09-22,2026-09-22,149750,11980000,0.01198,0.01115724
detail,Status,ZT,ZT.v.0,status,continuous,2021-09-22,2026-09-22,10922,436880,0.000437,0.0016275
detail,OHLCV-1s,ZF,ZF.v.0,ohlcv-1s,continuous,2021-09-22,2026-09-22,15181722,850176432,0.850176,55.42519525
detail,Definitions,ZF,ZF.FUT,definition,parent,2021-09-22,2026-09-22,38872,20213440,0.020213,0.0320029
detail,Statistics,ZF,ZF.v.0,statistics,continuous,2021-09-22,2026-09-22,181320,14505600,0.014506,0.01350939
detail,Status,ZF,ZF.v.0,status,continuous,2021-09-22,2026-09-22,10904,436160,0.000436,0.00162482
detail,OHLCV-1s,ZN,ZN.v.0,ohlcv-1s,continuous,2021-09-22,2026-09-22,17578470,984394320,0.984394,64.17520568
detail,Definitions,ZN,ZN.FUT,definition,parent,2021-09-22,2026-09-22,34360,17867200,0.017867,0.02828822
detail,Statistics,ZN,ZN.v.0,statistics,continuous,2021-09-22,2026-09-22,164132,13130560,0.013131,0.01222879
detail,Status,ZN,ZN.v.0,status,continuous,2021-09-22,2026-09-22,10892,435680,0.000436,0.00162303
detail,OHLCV-1s,ZB,ZB.v.0,ohlcv-1s,continuous,2021-09-22,2026-09-22,10994677,615701912,0.615702,40.13919629
detail,Definitions,ZB,ZB.FUT,definition,parent,2021-09-22,2026-09-22,23512,12226240,0.012226,0.01935717
detail,Statistics,ZB,ZB.v.0,statistics,continuous,2021-09-22,2026-09-22,148832,11906560,0.011907,0.01108885
detail,Status,ZB,ZB.v.0,status,continuous,2021-09-22,2026-09-22,10922,436880,0.000437,0.0016275
detail,OHLCV-1s,CL,CL.v.0,ohlcv-1s,continuous,2021-09-22,2026-09-22,35765808,2002885248,2.002885,130.57325721
detail,Definitions,CL,CL.FUT,definition,parent,2021-09-22,2026-09-22,6155340,3200776800,3.200777,5.06762467
detail,Statistics,CL,CL.v.0,statistics,continuous,2021-09-22,2026-09-22,662450,52996000,0.052996,0.04935637
detail,Status,CL,CL.v.0,status,continuous,2021-09-22,2026-09-22,12559,502360,0.000502,0.00187144
detail,OHLCV-1s,NG,NG.v.0,ohlcv-1s,continuous,2021-09-22,2026-09-22,15686660,878452960,0.878453,57.26861507
detail,Definitions,NG,NG.FUT,definition,parent,2021-09-22,2026-09-22,9616432,5000544640,5.000545,7.91710418
detail,Statistics,NG,NG.v.0,statistics,continuous,2021-09-22,2026-09-22,465062,37204960,0.037205,0.03464982
detail,Status,NG,NG.v.0,status,continuous,2021-09-22,2026-09-22,11809,472360,0.000472,0.00175968
detail,OHLCV-1s,RB,RB.v.0,ohlcv-1s,continuous,2021-09-22,2026-09-22,9741430,545520080,0.54552,35.56386158
detail,Definitions,RB,RB.FUT,definition,parent,2021-09-22,2026-09-22,3817959,1985338680,1.985339,3.14328424
detail,Statistics,RB,RB.v.0,statistics,continuous,2021-09-22,2026-09-22,971431,77714480,0.077714,0.07237725
detail,Status,RB,RB.v.0,status,continuous,2021-09-22,2026-09-22,11946,477840,0.000478,0.00178009
detail,OHLCV-1s,HO,HO.v.0,ohlcv-1s,continuous,2021-09-22,2026-09-22,9422388,527653728,0.527654,34.39910799
detail,Definitions,HO,HO.FUT,definition,parent,2021-09-22,2026-09-22,4752971,2471544920,2.471545,3.91306948
detail,Statistics,HO,HO.v.0,statistics,continuous,2021-09-22,2026-09-22,1123883,89910640,0.089911,0.08373581
detail,Status,HO,HO.v.0,status,continuous,2021-09-22,2026-09-22,12181,487240,0.000487,0.00181511
