plan_id,category,root,request_symbol,schema,stype_in,start,end,estimated_records,estimated_billable_bytes,estimated_gb,estimated_cost_usd
BASE-5Y,OHLCV-1m,NQ,NQ.v.0,ohlcv-1m,continuous,2021-09-22,2026-09-22,1769895,99114120,0.099114,6.46150522
BASE-5Y,Definitions,NQ,NQ.FUT,definition,parent,2021-09-22,2026-09-22,48139,25032280,0.025032,0.03963232
BASE-5Y,Statistics,NQ,NQ.v.0,statistics,continuous,2021-09-22,2026-09-22,2416945,193355600,0.193356,0.18007644
BASE-5Y,Status,NQ,NQ.v.0,status,continuous,2021-09-22,2026-09-22,8676,347040,0.000347,0.00129282
BASE-5Y,OHLCV-1m,ES,ES.v.0,ohlcv-1m,continuous,2021-09-22,2026-09-22,1769621,99098776,0.099099,6.4605049
BASE-5Y,Definitions,ES,ES.FUT,definition,parent,2021-09-22,2026-09-22,92579,48141080,0.048141,0.07621929
BASE-5Y,Statistics,ES,ES.v.0,statistics,continuous,2021-09-22,2026-09-22,781227,62498160,0.062498,0.05820595
BASE-5Y,Status,ES,ES.v.0,status,continuous,2021-09-22,2026-09-22,8386,335440,0.000335,0.00124961
BASE-5Y,OHLCV-1m,RTY,RTY.v.0,ohlcv-1m,continuous,2021-09-22,2026-09-22,1716501,96124056,0.096124,6.26657523
BASE-5Y,Definitions,RTY,RTY.FUT,definition,parent,2021-09-22,2026-09-22,83538,43439760,0.04344,0.06877593
BASE-5Y,Statistics,RTY,RTY.v.0,statistics,continuous,2021-09-22,2026-09-22,988871,79109680,0.07911,0.07367663
BASE-5Y,Status,RTY,RTY.v.0,status,continuous,2021-09-22,2026-09-22,8324,332960,0.000333,0.00124037
BASE-5Y,OHLCV-1m,ZN,ZN.v.0,ohlcv-1m,continuous,2021-09-22,2026-09-22,1664266,93198896,0.093199,6.0758765
BASE-5Y,Definitions,ZN,ZN.FUT,definition,parent,2021-09-22,2026-09-22,34360,17867200,0.017867,0.02828822
BASE-5Y,Statistics,ZN,ZN.v.0,statistics,continuous,2021-09-22,2026-09-22,164132,13130560,0.013131,0.01222879
BASE-5Y,Status,ZN,ZN.v.0,status,continuous,2021-09-22,2026-09-22,10892,435680,0.000436,0.00162303
BASE-5Y,OHLCV-1m,ZB,ZB.v.0,ohlcv-1m,continuous,2021-09-22,2026-09-22,1539681,86222136,0.086222,5.62104352
BASE-5Y,Definitions,ZB,ZB.FUT,definition,parent,2021-09-22,2026-09-22,23512,12226240,0.012226,0.01935717
BASE-5Y,Statistics,ZB,ZB.v.0,statistics,continuous,2021-09-22,2026-09-22,148832,11906560,0.011907,0.01108885
BASE-5Y,Status,ZB,ZB.v.0,status,continuous,2021-09-22,2026-09-22,10922,436880,0.000437,0.0016275
BASE-5Y,OHLCV-1m,CL,CL.v.0,ohlcv-1m,continuous,2021-09-22,2026-09-22,1746825,97822200,0.097822,6.37728162
BASE-5Y,Definitions,CL,CL.FUT,definition,parent,2021-09-22,2026-09-22,6155340,3200776800,3.200777,5.06762467
BASE-5Y,Statistics,CL,CL.v.0,statistics,continuous,2021-09-22,2026-09-22,662450,52996000,0.052996,0.04935637
BASE-5Y,Status,CL,CL.v.0,status,continuous,2021-09-22,2026-09-22,12559,502360,0.000502,0.00187144
BASE-5Y,OHLCV-1m,NG,NG.v.0,ohlcv-1m,continuous,2021-09-22,2026-09-22,1584091,88709096,0.088709,5.78317486
BASE-5Y,Definitions,NG,NG.FUT,definition,parent,2021-09-22,2026-09-22,9616432,5000544640,5.000545,7.91710418
BASE-5Y,Statistics,NG,NG.v.0,statistics,continuous,2021-09-22,2026-09-22,465062,37204960,0.037205,0.03464982
BASE-5Y,Status,NG,NG.v.0,status,continuous,2021-09-22,2026-09-22,11809,472360,0.000472,0.00175968
BASE-5Y,OHLCV-1m,GC,GC.v.0,ohlcv-1m,continuous,2021-09-22,2026-09-22,1748523,97917288,0.097917,6.38348065
BASE-5Y,Definitions,GC,GC.FUT,definition,parent,2021-09-22,2026-09-22,1224265,636617800,0.636618,1.0079241
BASE-5Y,Statistics,GC,GC.v.0,statistics,continuous,2021-09-22,2026-09-22,829848,66387840,0.066388,0.06182849
BASE-5Y,Status,GC,GC.v.0,status,continuous,2021-09-22,2026-09-22,11914,476560,0.000477,0.00177532
BASE-5Y,OHLCV-1m,HG,HG.v.0,ohlcv-1m,continuous,2021-09-22,2026-09-22,1682440,94216640,0.094217,6.14222586
BASE-5Y,Definitions,HG,HG.FUT,definition,parent,2021-09-22,2026-09-22,2772576,1441739520,1.44174,2.28263175
BASE-5Y,Statistics,HG,HG.v.0,statistics,continuous,2021-09-22,2026-09-22,454038,36323040,0.036323,0.03382847
BASE-5Y,Status,HG,HG.v.0,status,continuous,2021-09-22,2026-09-22,11396,455840,0.000456,0.00169814
BASE-5Y,OHLCV-1m,6E,6E.v.0,ohlcv-1m,continuous,2021-09-22,2026-09-22,1738737,97369272,0.097369,6.34775408
BASE-5Y,Definitions,6E,6E.FUT,definition,parent,2021-09-22,2026-09-22,187136,97310720,0.097311,0.15406704
BASE-5Y,Statistics,6E,6E.v.0,statistics,continuous,2021-09-22,2026-09-22,563779,45102320,0.045102,0.04200481
BASE-5Y,Status,6E,6E.v.0,status,continuous,2021-09-22,2026-09-22,10026,401040,0.000401,0.00149399
BASE-5Y,OHLCV-1m,6J,6J.v.0,ohlcv-1m,continuous,2021-09-22,2026-09-22,1732852,97039712,0.09704,6.32626921
BASE-5Y,Definitions,6J,6J.FUT,definition,parent,2021-09-22,2026-09-22,187025,97253000,0.097253,0.15397565
BASE-5Y,Statistics,6J,6J.v.0,statistics,continuous,2021-09-22,2026-09-22,494772,39581760,0.039582,0.03686339
BASE-5Y,Status,6J,6J.v.0,status,continuous,2021-09-22,2026-09-22,10065,402600,0.000403,0.0014998
BASE-5Y,OHLCV-1m,6B,6B.v.0,ohlcv-1m,continuous,2021-09-22,2026-09-22,1631368,91356608,0.091357,5.955773
BASE-5Y,Definitions,6B,6B.FUT,definition,parent,2021-09-22,2026-09-22,187946,97731920,0.097732,0.1547339
BASE-5Y,Statistics,6B,6B.v.0,statistics,continuous,2021-09-22,2026-09-22,431502,34520160,0.03452,0.0321494
BASE-5Y,Status,6B,6B.v.0,status,continuous,2021-09-22,2026-09-22,10001,400040,0.0004,0.00149027
BASE-5Y,OHLCV-1m,ZC,ZC.v.0,ohlcv-1m,continuous,2021-09-22,2026-09-22,1056771,59179176,0.059179,3.85804318
BASE-5Y,Definitions,ZC,ZC.FUT,definition,parent,2021-09-22,2026-09-22,464549,241565480,0.241565,0.38245815
BASE-5Y,Statistics,ZC,ZC.v.0,statistics,continuous,2021-09-22,2026-09-22,263271,21061680,0.021062,0.01961522
BASE-5Y,Status,ZC,ZC.v.0,status,continuous,2021-09-22,2026-09-22,23359,934360,0.000934,0.00348076
BASE-5Y,OHLCV-1m,ZS,ZS.v.0,ohlcv-1m,continuous,2021-09-22,2026-09-22,1176070,65859920,0.06586,4.29357812
BASE-5Y,Definitions,ZS,ZS.FUT,definition,parent,2021-09-22,2026-09-22,826720,429894400,0.429894,0.68062961
BASE-5Y,Statistics,ZS,ZS.v.0,statistics,continuous,2021-09-22,2026-09-22,365495,29239600,0.02924,0.0272315
BASE-5Y,Status,ZS,ZS.v.0,status,continuous,2021-09-22,2026-09-22,23208,928320,0.000928,0.00345826
BASE-5Y,OHLCV-1m,ZW,ZW.v.0,ohlcv-1m,continuous,2021-09-22,2026-09-22,1040822,58286032,0.058286,3.79981682
BASE-5Y,Definitions,ZW,ZW.FUT,definition,parent,2021-09-22,2026-09-22,406672,211469440,0.211469,0.33480865
BASE-5Y,Statistics,ZW,ZW.v.0,statistics,continuous,2021-09-22,2026-09-22,282298,22583840,0.022584,0.02103284
BASE-5Y,Status,ZW,ZW.v.0,status,continuous,2021-09-22,2026-09-22,23575,943000,0.000943,0.00351295
BASE-4Y,OHLCV-1m,NQ,NQ.v.0,ohlcv-1m,continuous,2022-09-22,2026-09-22,1414400,79206400,0.079206,5.16366959
BASE-4Y,Definitions,NQ,NQ.FUT,definition,parent,2022-09-22,2026-09-22,39474,20526480,0.020526,0.03249852
BASE-4Y,Statistics,NQ,NQ.v.0,statistics,continuous,2022-09-22,2026-09-22,1929804,154384320,0.154384,0.1437816
BASE-4Y,Status,NQ,NQ.v.0,status,continuous,2022-09-22,2026-09-22,6996,279840,0.00028,0.00104249
BASE-4Y,OHLCV-1m,ES,ES.v.0,ohlcv-1m,continuous,2022-09-22,2026-09-22,1414137,79191672,0.079192,5.16270943
BASE-4Y,Definitions,ES,ES.FUT,definition,parent,2022-09-22,2026-09-22,75887,39461240,0.039461,0.06247694
BASE-4Y,Statistics,ES,ES.v.0,statistics,continuous,2022-09-22,2026-09-22,616817,49345360,0.049345,0.04595645
BASE-4Y,Status,ES,ES.v.0,status,continuous,2022-09-22,2026-09-22,6693,267720,0.000268,0.00099733
BASE-4Y,OHLCV-1m,RTY,RTY.v.0,ohlcv-1m,continuous,2022-09-22,2026-09-22,1370333,76738648,0.076739,5.00279047
BASE-4Y,Definitions,RTY,RTY.FUT,definition,parent,2022-09-22,2026-09-22,75281,39146120,0.039146,0.06197803
BASE-4Y,Statistics,RTY,RTY.v.0,statistics,continuous,2022-09-22,2026-09-22,769643,61571440,0.061571,0.05734287
BASE-4Y,Status,RTY,RTY.v.0,status,continuous,2022-09-22,2026-09-22,6686,267440,0.000267,0.00099629
BASE-4Y,OHLCV-1m,ZN,ZN.v.0,ohlcv-1m,continuous,2022-09-22,2026-09-22,1321747,74017832,0.074018,4.82541345
BASE-4Y,Definitions,ZN,ZN.FUT,definition,parent,2022-09-22,2026-09-22,27799,14455480,0.014455,0.02288662
BASE-4Y,Statistics,ZN,ZN.v.0,statistics,continuous,2022-09-22,2026-09-22,126489,10119120,0.010119,0.00942416
BASE-4Y,Status,ZN,ZN.v.0,status,continuous,2022-09-22,2026-09-22,8717,348680,0.000349,0.00129893
BASE-4Y,OHLCV-1m,ZB,ZB.v.0,ohlcv-1m,continuous,2022-09-22,2026-09-22,1211301,67832856,0.067833,4.42219891
BASE-4Y,Definitions,ZB,ZB.FUT,definition,parent,2022-09-22,2026-09-22,19123,9943960,0.009944,0.01574376
BASE-4Y,Statistics,ZB,ZB.v.0,statistics,continuous,2022-09-22,2026-09-22,110796,8863680,0.008864,0.00825495
BASE-4Y,Status,ZB,ZB.v.0,status,continuous,2022-09-22,2026-09-22,8749,349960,0.00035,0.0013037
BASE-4Y,OHLCV-1m,CL,CL.v.0,ohlcv-1m,continuous,2022-09-22,2026-09-22,1394862,78112272,0.078112,5.09234056
BASE-4Y,Definitions,CL,CL.FUT,definition,parent,2022-09-22,2026-09-22,5063079,2632801080,2.632801,4.16837804
BASE-4Y,Statistics,CL,CL.v.0,statistics,continuous,2022-09-22,2026-09-22,491538,39323040,0.039323,0.03662243
BASE-4Y,Status,CL,CL.v.0,status,continuous,2022-09-22,2026-09-22,9664,386560,0.000387,0.00144005
BASE-4Y,OHLCV-1m,NG,NG.v.0,ohlcv-1m,continuous,2022-09-22,2026-09-22,1268127,71015112,0.071015,4.62965839
BASE-4Y,Definitions,NG,NG.FUT,definition,parent,2022-09-22,2026-09-22,7984378,4151876560,4.151877,6.57345182
BASE-4Y,Statistics,NG,NG.v.0,statistics,continuous,2022-09-22,2026-09-22,338151,27052080,0.027052,0.02519421
BASE-4Y,Status,NG,NG.v.0,status,continuous,2022-09-22,2026-09-22,9167,366680,0.000367,0.00136599
BASE-4Y,OHLCV-1m,GC,GC.v.0,ohlcv-1m,continuous,2022-09-22,2026-09-22,1397400,78254400,0.078254,5.10160625
BASE-4Y,Definitions,GC,GC.FUT,definition,parent,2022-09-22,2026-09-22,1040428,541022560,0.541023,0.85657309
BASE-4Y,Statistics,GC,GC.v.0,statistics,continuous,2022-09-22,2026-09-22,736963,58957040,0.058957,0.05490802
BASE-4Y,Status,GC,GC.v.0,status,continuous,2022-09-22,2026-09-22,9723,388920,0.000389,0.00144884
BASE-4Y,OHLCV-1m,HG,HG.v.0,ohlcv-1m,continuous,2022-09-22,2026-09-22,1340859,75088104,0.075088,4.89518724
BASE-4Y,Definitions,HG,HG.FUT,definition,parent,2022-09-22,2026-09-22,2245211,1167509720,1.16751,1.84845787
BASE-4Y,Statistics,HG,HG.v.0,statistics,continuous,2022-09-22,2026-09-22,364332,29146560,0.029147,0.02714485
BASE-4Y,Status,HG,HG.v.0,status,continuous,2022-09-22,2026-09-22,9179,367160,0.000367,0.00136778
BASE-4Y,OHLCV-1m,6E,6E.v.0,ohlcv-1m,continuous,2022-09-22,2026-09-22,1389322,77802032,0.077802,5.07211521
BASE-4Y,Definitions,6E,6E.FUT,definition,parent,2022-09-22,2026-09-22,151023,78531960,0.078532,0.1243356
BASE-4Y,Statistics,6E,6E.v.0,statistics,continuous,2022-09-22,2026-09-22,440582,35246560,0.035247,0.03282592
BASE-4Y,Status,6E,6E.v.0,status,continuous,2022-09-22,2026-09-22,8424,336960,0.000337,0.00125527
